matchid,me,you,won,yourDead,myDead
battle-randombattle-311,mallis,larandumb,false,5,6
battle-randombattle-312,larandumb,mallis,false,5,6
battle-randombattle-312,mallis,larandumb,true,6,5
battle-randombattle-313,larandumb,mallis,false,4,6
battle-randombattle-313,mallis,larandumb,true,6,4
battle-randombattle-314,larandumb,mallis,false,5,6
battle-randombattle-314,mallis,larandumb,true,6,5
battle-randombattle-315,larandumb,mallis,false,4,6
battle-randombattle-315,mallis,larandumb,true,6,4
battle-randombattle-316,larandumb,mallis,true,6,3
battle-randombattle-316,mallis,larandumb,false,3,6
battle-randombattle-317,larandumb,mallis,false,3,6
battle-randombattle-317,mallis,larandumb,true,6,3
battle-randombattle-318,larandumb,mallis,false,3,6
battle-randombattle-318,mallis,larandumb,true,6,3
battle-randombattle-319,mallis,larandumb,true,6,4
battle-randombattle-319,larandumb,mallis,false,4,6
battle-randombattle-320,larandumb,mallis,false,5,6
battle-randombattle-320,mallis,larandumb,true,6,5
battle-randombattle-321,larandumb,mallis,false,4,6
battle-randombattle-321,mallis,larandumb,true,6,4
battle-randombattle-322,larandumb,mallis,false,3,6
battle-randombattle-322,mallis,larandumb,true,6,3
battle-randombattle-323,larandumb,mallis,false,3,6
battle-randombattle-323,mallis,larandumb,true,6,3
battle-randombattle-324,larandumb,mallis,false,3,6
battle-randombattle-324,mallis,larandumb,true,6,3
battle-randombattle-325,larandumb,mallis,false,2,6
battle-randombattle-325,mallis,larandumb,true,6,2
battle-randombattle-326,larandumb,mallis,false,3,6
battle-randombattle-326,mallis,larandumb,true,6,3
battle-randombattle-327,larandumb,mallis,true,6,5
battle-randombattle-327,mallis,larandumb,false,5,6
battle-randombattle-328,larandumb,mallis,true,6,5
battle-randombattle-328,mallis,larandumb,false,5,6
battle-randombattle-329,larandumb,mallis,false,5,6
battle-randombattle-329,mallis,larandumb,true,6,5
battle-randombattle-330,larandumb,mallis,false,4,6
battle-randombattle-330,mallis,larandumb,true,6,4
battle-randombattle-331,larandumb,mallis,true,6,2
battle-randombattle-331,mallis,larandumb,false,2,6
battle-randombattle-332,larandumb,mallis,false,5,6
battle-randombattle-332,mallis,larandumb,true,6,5
battle-randombattle-333,larandumb,mallis,false,3,6
battle-randombattle-333,mallis,larandumb,true,6,3
battle-randombattle-334,larandumb,mallis,false,2,6
battle-randombattle-334,mallis,larandumb,true,6,2
battle-randombattle-335,larandumb,mallis,false,3,6
battle-randombattle-335,mallis,larandumb,true,6,3
battle-randombattle-336,larandumb,mallis,false,5,6
battle-randombattle-336,mallis,larandumb,true,6,5
battle-randombattle-337,larandumb,mallis,true,6,4
battle-randombattle-337,mallis,larandumb,false,4,6
battle-randombattle-338,larandumb,mallis,false,2,6
battle-randombattle-338,mallis,larandumb,true,6,2
battle-randombattle-339,larandumb,mallis,false,5,6
battle-randombattle-339,mallis,larandumb,true,6,5
battle-randombattle-340,larandumb,mallis,false,4,6
battle-randombattle-340,mallis,larandumb,true,6,4
battle-randombattle-341,larandumb,mallis,false,4,6
battle-randombattle-341,mallis,larandumb,true,6,4
battle-randombattle-342,larandumb,mallis,false,3,6
battle-randombattle-342,mallis,larandumb,true,6,3
battle-randombattle-343,larandumb,mallis,true,6,5
battle-randombattle-343,mallis,larandumb,false,5,6
battle-randombattle-344,mallis,larandumb,true,6,4
battle-randombattle-344,larandumb,mallis,false,4,6
battle-randombattle-345,larandumb,mallis,false,1,6
battle-randombattle-345,mallis,larandumb,true,6,1
battle-randombattle-346,larandumb,mallis,false,3,6
battle-randombattle-346,mallis,larandumb,true,6,3
battle-randombattle-347,larandumb,mallis,false,4,6
battle-randombattle-347,mallis,larandumb,true,6,4
battle-randombattle-348,larandumb,mallis,true,6,2
battle-randombattle-348,mallis,larandumb,false,2,6
battle-randombattle-349,larandumb,mallis,false,3,6
battle-randombattle-349,mallis,larandumb,true,6,3
battle-randombattle-350,larandumb,mallis,true,6,5
battle-randombattle-350,mallis,larandumb,false,5,6
battle-randombattle-351,larandumb,mallis,false,3,6
battle-randombattle-351,mallis,larandumb,true,6,3
